Quel est votre niveau de satisfaction concernant votre CPAM;Que pourrait faire votre CPAM pour améliorer votre satisfaction globale?
Pas du tout satisfait;Pouvoir télétransmettre tous documents plutôt que courrier postal pour certains (fiche paye) ou remettre en place la boîte à lettre à La Tour du Pin enlevée depuis le covid  Le calcul de la pension d’invalidité est opaque, les versements arrivent puis je dois rembourser 6 mois plus tard alors que je déclare tous mes revenus dans les temps. Quel stress.  Messages mail difficiles à trouver sur le site car il faut d’abord échanger avec le chatbot.  Relation infantilisante avec ma caisse notamment sur la pension d’invalidité versée puis reprise. Aucune envie de recontacter par tel des conseillers : je croyais d’ailleurs que ce n’était plus possible par téléphone.   Cordialement
Très satisfait;Pas de suggestions
Assez satisfait;changement de nos carte vitale qui date de 1998 et des numéro effaces
Assez satisfait;Que le traitement des feuilles de soins papiers soit plus rapide
Pas du tout satisfait;Rien
Pas du tout satisfait;Rembourser tous les actes sur une dent et non pas une seule fois. Rembourser totalement les lunettes.
Très satisfait;Je parlais pour le futur si j ai besoin. Pour l instant rien à signaler.
Peu satisfait;Répondre aux e-mail
Peu satisfait;Par obligation, suite à ma demande j'ai du envoyer une lettre recommandée à vos services, seul moyen de faire selon vous. envoi reçu par vous le 8 novembre ....A ce jour aucune réponse...j'attends jusqu'à quand....et avec ça, on doit être satisfait????????
Assez satisfait;Beaucoups de  choses prendre en considération les accidents de travail et être reconnu  invalide suite à plusieurs reprises de réclamation mais toujours refusé
Assez satisfait;Plus d informations concernant nos droits
Très satisfait;Pour les demandes de remboursement Papier lorsque le médecin a un problème de télétransmission ça ne fonctionne jamais !!!
Assez satisfait;Rien
Pas du tout satisfait;Être plus à l'écoute de gens qui ont des pathologies réelles
Assez satisfait;Quand on rembourse 3 centimes d'euros sur des Quand on rembourse 3 centimes d'euros sur des montures ou des verres cela n'est pas satisfaisant du tout, je vous rappelle que la sécurité sociale a été  créé pour rembourser les frais médicaux organisme créé d'ailleurs par  CNR à la sortie de la guerre ,et pourquoi les syndicats ont été évincé du conseil d'administration,  tous changements ont été faits sans consultation des principaux intéressés et de ceux qui finance ?
Assez satisfait;Penser à m'envoyer une convocation pour passer la mammographie car je l'attends toujours !!! Je viens encore d'envoyer une demande au service concerné  !
Assez satisfait;pour une demande remboursement d'OAM de 459€ depuis début novembre 23.  la PEC serait introuvable pourtant adressée par mon Chirurgien Dentiste au Médecin Conseil de ma Cpam40.  Refus de paiement car il n'y a pas de date de la PEC. au 3646: Interlocutrices au téléphone parfois hautaines et manquants d'empathie et très fermées ( devant mon insistance,  jusqu'à me proposer de faire une demande d'aide exceptionnelle par commission pour le remboursement, déclarant qu'elle ne peut rien faire pour moi, c'était comme ça et rien à faire de plus, c'est trop tard etc...) des arguments très déconcertants et inutiles! Néanmoins eu au téléphone par deux fois une Personne du Service Médical de Bordeaux fort aimable et me conseillant , et demandant à ce que je sois rappelée, ce qui a été fait le lendemain toujours par une Technicienne connaissant très bien son travail et rassurante, m'expliquant clairement la démarche pour finaliser ce dossier .Donc :Il m'a semblé que le plateau premier sert à éluder les problèmes pour décourager les Assurés , je suggère donc pour certaines conseillères un peu plus de connaissance des droits des assurés , de savoir se présenter , de politesse ,  et ...d'empathie. Merci de m'avoir lue.
Très satisfait;Réduire le délai de réception d'une carte vitale en commande. Pouvoir le faire en ligne même quand changement d'organisme et département
Très satisfait;RAS
Peu satisfait;J'ai dû finir par écrire sur mes remboursements à l étrangers car la cpam d albi malgré mes relances n ont pas assez interragi pour savoir où en était mon dossier.
Assez satisfait;Des réponses claires et en rapport avec le problème
Pas du tout satisfait;Être plus attentif aux demandeurs et aux démarches
Pas du tout satisfait;Apporter une réponse personnalisée et pas un copier/coller d’un texte dans leur logiciel… Puis éviter de prendre quelqu’un pour quelqu’un d’autres et d’engueuler la personne au téléphone alors qu’on a pris les informations d’un autre usager.
Très satisfait;Avoir un contact humain pour certaines démarches
Très satisfait;Pourquoi certains médicaments ne sont pas pris en charge , alors que je suis à la C.S.S. auprès de vos services ?
Assez satisfait;Que les urgences soient traitées comme telles (différence entre urgence administrative et urgence opérationnelle)
Peu satisfait;Possibilité de passer en agence sans avoir à attendre des heures, facilités à joindre la CPAM de manière générale
Très satisfait;revoir ma situation de handicap
Assez satisfait;Pqrfait
Peu satisfait;Bonjour ce qui est a mon avis le plus perturbant c'est l'utilisation de robot ce manque d'humanité dans un moment pénible de la vie n'est pas satisfaisant. Par exemple pour la demande de pension d'invalidité la réponse négative  est donner le jour même. Par contre suite a une demande de la médecine du travail pour la prolongation de mes indemnités journalières j'attend toujours une réponse depuis plus d'un mois.                                                 MERCI
Très satisfait;RAS
Peu satisfait;Proposer plus de solution en ligne éviter le délai du traitement du courrier
Assez satisfait;C est bien dommage que votre numero de telephone soit payant celà oblige à avoir un compte ameli pour pouvoir discuter avec vous
Très satisfait;prevenir quand il y as des remboursements par emails ou smarphone par sms
Peu satisfait;Je n'ai jamais obtenu le remboursement d'un soin malgré de très nombreux essais, dont un avec la plateforme téléphonique de Toulouse qui m'a certifié avoir droit à ce remboursement !
Très satisfait;Étant en situation handicap déficient visuel ça deviens compliqué pour moi d'effectuer certaines démarches d'autant plus que je vis seul !
Peu satisfait;Bonjour déjà ce serait bien de parler à une vraie personne pas a un bot qui ne comprends rien au demande ..même en faisant un mail la personne réponds a côté...que faut il faire pour ne plus être piraté sur le compte Amélie...ça fait 3 fous que je change mon mot de passe
Assez satisfait;une information sur le reste a charge de l'année .
Assez satisfait;Rien de plus en particulier
Peu satisfait;- il est urgent de developper le scan des fiches de remboursement, qui utilise encore des papiers?? Qui a encore le temps de faire un aller retour pour mettre un papier dans une boite aux lettres ?  - le delai et le suivi de remboursement est CATASTROPHIQ
Assez satisfait;Jusqu'à présent je suis plutôt satisfait de mon suivie sur mon dossier et je suis très bien informé. Merci.
Assez satisfait;Augmenter les remboursements des frais dentaires et non les diminuer.
Assez satisfait;Arrêter de rembourser ceux ou celles qui n'ont jamais cotisé et mieux rembourser les salariés ou retraités ou en recherche d'emploi (qui ont déjà travaillé)
Très satisfait;Je ne sais pas
Peu satisfait;Arret maladie par internet avec explications plus claires et rapide sur les demarches a suivre
Peu satisfait;il s'avère quasiment impossible d'envoyer un mail pour une simple demande de renseignement
Pas du tout satisfait;Former correctement vos collaboratrices et collaborateurs sur l'amabilité, avoir moins de attente au téléphone, traiter plus vite les dossiers
Assez satisfait;Être à l’écoute
Assez satisfait;l'accés a mon compte est assez compliqué, surtout avec le mot de passe je suis obligé de me reprendre 5 ou 6 fois.
Très satisfait;J ai essayé à plusieurs reprise de prendre Rendez vous par l intermédiaire du site ameli je n’y suis jamais arrivée
Assez satisfait;repondre avec exactitude à la question posée.
Très satisfait;Le seul souci que je rencontre actuellement concerne la prise en charge des transports VSL pour une pathologie ALD qui m'oblige à emprunter un aller retour toutes les 4 semaines vers le CHU d'Amiens avec évidemment une prescription médicale de transport spécifiant bien ALD exonérante.
Assez satisfait;Avoir la possibilité de communiquer par mail avec une réponse possible Ce n'est pas toujours possible
Pas du tout satisfait;Je n'ai pas compris pourquoi je n'ai pas eu droit aux indemnités journalières lors de mon arrêt de travail en 2022, alors que je paie des cotisations.
Peu satisfait;Prendre en compte les demandes, et ne pas se defosser sur les professionnels de santé
Pas du tout satisfait;Pouvoir envoyer des documents en ligne !
Assez satisfait;lorsque je ne peut y aller soit ça ne prend pas le code ou actuellement ça ne prend pas le numéro de ma carte vitale
Assez satisfait;Rien à dire
Peu satisfait;Le service remboursement santé devrait être plus accessible. Des réponses claires sont attendues. Un accueil agréable et du profesionalisme
Peu satisfait;Avoir la possibilité d’envoyer un mail / pouvoir faire une réclamation simplement
Très satisfait;l'accueil à la CPAM est toujours compliqué beaucoup de monde et peut-etre pas assez de personnel
Très satisfait;pour moi, le contact téléphonique, quand il y en a eu, a été excellent. Améli me convient parfaitement. Je n'ai pas de demande particulière puisqu'Amélie répond à mes attentes.
Peu satisfait;Depuis que nous avons déménagé dans le Tarn, je ne fais qu'avoir des soucis avec mes remboursements. Je suis obligée de prendre contact pour pratiquement tous les remboursements qui concernent mon suivi ou celui de mon fils Il y a des soucis sur la désignation du médecin traitant et c'est toujours moi qui doit faire les démarches pour prouver que c'est un dysfonctionnement J aimerai avoir un meilleur suivi plus rigoureux
Assez satisfait;Avoir la possibilité d'être rappeler plus facilement
Très satisfait;Préciser sur quelle cotisation sont pris les frais et ne pas faire un global
Peu satisfait;Plus d’informations sur le suivi des dossiers. Ne pas attendre d’être contacté par la personne qui attend le CB paiement de ses IJ pour continuer à payer ses factures
Assez satisfait;R.A.S.
Peu satisfait;plus de communication par rapport au feuilles de soin que l'on ne voie pas de remboursement
Très satisfait;RAS
Assez satisfait;Pouvoir envoyé des fichiers  par mail par exemple fiche de paie souvent demandé pour éviter l'envoi postal
Assez satisfait;je n'ai rien à dire tout se passe bien
Assez satisfait;Améliorer l’application des aliments sans gluten
Pas du tout satisfait;Embaucher du personnel
Assez satisfait;Remboursement feuille de soin plus rapide  Ce n’est pas normal d’attendre 1 mois pour être remboursé  Tout le monde n’a pas les moyens d’avancer des grosses sommes  Je cotise donc cela devrait être normal d’être remboursé en heure et en temps 5 jours maxi
Très satisfait;Merci beaucoup
Peu satisfait;Avoir des interlocuteurs plus compétents
Assez satisfait;RAS
Très satisfait;Tout va bien pour mon épouse et moi merci
Très satisfait;Le suivi des IJ par l employeur pour maintient de salaire .Les sommes versé sur salaire ne correspondent pas . Il y a un manque
Très satisfait;RIEN POUR MOI TOUT VA BIEN
Peu satisfait;Je me retrouve sans médecin traitant et personne nous aide a en trouver. On me communique 2 coordonnées de médecin qui ne prennent pas de nouveau patient.
Très satisfait;Je suis globalement très satisfait des services rendus , personnel aimable , disponible . La relation avec ma CPAM est conviviale , bonne continuation
Très satisfait;Facilité de connexion sur le site
Peu satisfait;Le passage de la CFE à la CPAM du Finistère a été une terrible épreuve administrative , de nombreux mois . A l'heure actuelle nous attendons encore des Remboursement de Frais de transports de Mai et juin 2023. Manque de communication entre les services   Connaissance très limitée des différents services des conseillères téléphoniques   Je souligne l'accueil physique très professionnel et empathique de la CPAM de Quimper , cependant ils ne peuvent pas tout résoudre
Très satisfait;RAS
Très satisfait;de continuer dans cette optique et merci
Très satisfait;Plus de clarté pour l'accès aux informations personnelles
Assez satisfait;RAS
Assez satisfait;le chat avec le robot n'est pas naturel. je préfère un contact direct avec un conseiller
Assez satisfait;Qu’ils répondent au tel plus rapidement 30mn minimum ????
Assez satisfait;faciliter toute communication via la messagerie sécurisée
Peu satisfait;Prendre au moins le temps de donner une réponse cohérente en fonction de mes demandes par mail et courrier postal avec justificatifs joints.
Assez satisfait;Que les relevés mensuels soient plus facile à comprendre
Assez satisfait;Simplifier le motif de demande de rdv sur le compte ameli (actuellement motif trop cerné !) la case « autre » serait bien !
Assez satisfait;Délai trop long pour répondre, j'avais réglé une visite chez le spécialiste on m'a répondu que la visite n'avait pas été réglée car les visites, médicaments et prise de sang avaient été retenus sur cette visite, on aurait pu me signaler La caisse de Vire n'a voulu rien me dire, j'ai dû vous envoyer un courrier. Je vous remercie de m'avoir répondu.
Peu satisfait;Globalement comme il s'agit de moyens manquant du fait de la politique de destruction de la Sécurité Sociale qui est mise en oeuvre depuis très longtemps, vous ne pouvez malheureusement RIEN FAIRE.
Assez satisfait;Me faire connaitre la raison pour laquelle mes deux dernières consultations (généraliste)  n' ont donné lieu à   AUCUN  remboursement!
Peu satisfait;Je souhaite que l on puisse mettre des pièces jointes lorsqu on en envoie un message car ça n est pas du tout pratique
Très satisfait;Bonjour   Quelquefois il m'arrive d'avoir un blocage pour accéder à mon compte ameli. Le mot de passe doit -il être changé  à chaque   utilisation en ce qui concerne l'espace santé.
Très satisfait;Renforcement de la sécurité sur les données du compte ameli notamment  pour ne pas recevoir de mails ,liens contacts SMS frauduleux
Assez satisfait;Je ma demandé de complémentaire santé 3 on la valide merci
Peu satisfait;La dématérialisation est pas du tout une avancée tout comme le compte amelie un moment il faut stopper tout le internet ça devient très pénible rien ne vaut le contact physique qui se perd
Peu satisfait;"Accepter l'envoi de courrier électronique, incluant des pièces-jointes.. Vous utilisez le terme ""emails via votre compte Ameli"", ce ne sont que des messages limités à environ 1000 caractères. Impossibilité d'y joindre une pièce-jointe. En cas de communication téléphonique, l'accueil ne procure que du renseignement niveau 1. Autoriser le second niveau pour des demandes plus complexes. Conférences déclarations revenus : à 14h, je travaille. Aucun enregistrement de conférence n'est disponible. Déplacez les horaires des conférences et donnez possibilité de télécharger celles-ci.  Améliorer le fonctionnement du site : Plantages récurrents de celui-ci lors de la saisie des des ressources, impossibilité d'obtenir le document de déclaration et je me vois reprocher que j'aurais dû contrôler les données avant de valider..  J'en ai mal à l'estomac, ça me brûle, en pensant à ce que certains correspondants se permettent d'écrire, c'est une honte.  Visites à ma CPAM ? Le bureau n'existe plus et CPAM Cergy-Pontoise se trouve à trente kilomètres."
Assez satisfait;Bonjour, la CPAM ne devrait pas retirer, la participation forfaitaire aux petites retraités et aux personnes qui ont des pathologies Merci
Très satisfait;?
Pas du tout satisfait;Votre site n’est pas toujours accessible donc  3 courriers adressés par courrier pour un remboursement du 05 octobre et a ce jour rien meme pas uni courrier on avance les frais de soins  pas de signe de vie!
Assez satisfait;"j'évite de consulter mon compte Ameli car les identifiants et mots de passe ne son JAMAIS bons malgré que j'ai pris soin de les noter Je suis donc chaque fois TRES MECONTENTE ET AGACEE; n'y a t-il pas de moyens plus simples de connexion Donc les notes attribuées sont fonction de ce problème récurrent"
Pas du tout satisfait;J'avais envoyé une demande de prise en charge de cure thermale en mai, par voie postale, début septembre je n'avais toujours aucune nouvelle. Après essayé d'appeler sans succès, j'ai trouvé très, très, très, très difficilement la possibilité d'envoyer un mail à laquelle on me répond n'avoir aucune demande de prise en charge me concernant. J'ai dû en urgence déranger mon médecin en insistant pour avoir une nouvelle prise en charge que j'ai renvoyé par VOIE POSTALE car impossible de l'envoyer par mail sur mon compte AMELI. Je ne trouve pas normal que l'assurance maladie m'envois par mail ma prise en charge et que je dois l'imprimer par mes propres moyens et que, moi, je ne puisse pas envoyé par mail ces documents et ainsi que les autres factures de soins (lunettes, dents, etc...)
Très satisfait;La situation actuelle me convient parfaitement
Assez satisfait;Remboursement rapide. Trop compliqué d'avancer les soins 1 mois avant le Remboursement...
Assez satisfait;Transmette à chaque fois mes remboursement a ma mutuelle. J'ai étais plusieur fois de transmettre moi même mes remboursements, ca agace d'être obligé  de suivre ses remboursements.
Très satisfait;Continuer  comme vous le faites
Peu satisfait;dommage que l' on ne peut plus vous envoyer des mails par l'intermédiaire du compte ameli
Peu satisfait;Bonjour, il n'est pas facile de vous contacter par mail via amél.. Depuis que je suis à la retraite je ne touche plus aucun remboursement?? je n'ai pas bien saisie l'histoire de la franchise. j'admet qu'on retienne une certaine sommes sur mes remboursement, mais de la à ne plus rien toucher du tout...Sur le compte améli,dans votre liste de raison  pour laquelle on souhaite vous contacter je trouve qu'on manque de choix.
Très satisfait;Nous avons les meilleurs services en Europe biensur que l on trouvera toujours des gens mécontents c est pour cela que tout le monde vient  en france se faire soyer voila et merci et joyeux Noël a tous.
Peu satisfait;Mieux écouter, être plus compréhensif, proposer des solutions et de l'aide.
Très satisfait;Rien tout va bien
Assez satisfait;que la CPAM soit facilement joignable , obtenir un rendez-vous et non poireauter un temps trop long .
Assez satisfait;Écourter le temps d’attente téléphonique pour vous contacter ☺️ Réduire la CSG déductible sur les IJ lors d’un accident de travail ☺️
Très satisfait;Tout va très bien.Continuez ainsi....
Très satisfait;Rien pour l instant
Assez satisfait;connexion avec mot de passe par envoi de sms et non pas par mail
Assez satisfait;Une meilleure disponibilité du service internet qui n'a pas fonctionné pendant plusieurs mois
Très satisfait;Prévenir  aux  dépistage des cancers, comme les frottis.
Peu satisfait;Que le suivi de la demande soit faite rapidement et non pas sur plusieurs mois et souvent avec des réclamations
Pas du tout satisfait;Lorsqu’on qu’on vous écrit, les réponses sont toujours bien à côté des questions posées. Un meilleur ciblage des questions pour de meilleures réponses serait plus appréciable.
Assez satisfait;Pour le traitement du arrêt maladie c'est long
Très satisfait;Recevoir sans rdv
Assez satisfait;Paiement des ij . somme versée différents des sommes perçues
Très satisfait;Tenir compte de la pluri activité des travailleurs indépendants affiliés à plusieurs regimes différents , en ce qui concerne les indemnités journalietes
Très satisfait;je n'ai rien de particulier pour l'instant car je n'utilise pas assez souvent
Peu satisfait;"Lorsque je refuse les ""soins"" d'un médecin, basés uniquement sur la prescription de statines (+ de 70 ans, plutôt hypotendue, crampes violentes) et Doliprane (que je ne demande pas) et qui ne m'écoute pas, je souhaite que son nom n'apparaisse plus comme ""médecin traitant"". Je me débrouille avec le Dr Ménard et le Dr Spitz (remplaçant) à la Maison médicale de Publier. Sérieux, à l'écoute. Pour les cas graves, il y a des spécialistes : les urologues Dr Leroux et Kubiack, le néphrologue Dr Megri (surveillance cancer rénal et lithiases) et l'ORL Dr Garofallo (qui m'a prescrit une IRM révélant un hématome sous-dural suite à une chute, ce que le généraliste avait ignoré), praticiens de l'hôpital, excellents."
Assez satisfait;Pour améliorer ma satisfaction globale, j'apprécierais que la CPAM simplifie ses procédures administratives et offre une meilleure assistance aux assurés pour faciliter la compréhension des démarches.
Assez satisfait;Information sur les critères (modalités ou formule de calcul) sur le montant des indemnités journalières
Très satisfait;Sincèrement merci à Mme DISSI HAKIMA qui m’a répondu rapidement avec des informations très pertinentes et en cohérence avec mes demandes. Sur votre site il manque la possibilité de vous transmettre les fiches de consultations par voie électronique, ma carte vitale était HS donc j’avais pleins de formulaires à vous envoyer dommage que cela n’est pas encore possible en ligne
Assez satisfait;De répondre de.maniere appropriée aux questions et d ene pas mettre un robot
Peu satisfait;J ai besoin d avoir mon code carte vital pour changer mon rib
Assez satisfait;Demande de remboursement d'une perruque, ma femme est traitée pour un cancer du poumon elle a perdu ses cheveux. Je n'ai pas reçu à ce jour le remboursement demande.
Assez satisfait;Pour accéder facilement au site internet pour envoyer un message,,,et pouvoir rentrer en contact par voie téléphonique sans qu'on nous raccroche,,,
Assez satisfait;pourrait - on enfin pouvoir vous joindre par téléphone...?
Assez satisfait;bonjour  ,  aimerais  un suivi  dans  mes dossiers  notamment   pour  les  soins  dentaires        accompagnement   pour  des soins  mieux  maitrisés  ,  mieux   remboursés   (   retraité   :  prothèses    facilitées    et   aidées  .....)
Assez satisfait;Service médical dossier médical transfere caisse CNMSSvers CPAM ne se fait pas automatiquement ainsi que le médecin traitant n’est pas repris
Assez satisfait;Que l on me baisse mes prélèvements de ma cmu
Assez satisfait;Le temps d’attente au niveau des antennes de la cpam sont longs, et il n’y a pas d’accès prioritaires pour PMR ou/et femme enceinte.  Une meilleure lecture des mails, au lieu de nous rediriger vers la procédure initiale déjà faite.
Très satisfait;augmenter les remboursements en particulier sur le dentaire et l'optique !
Peu satisfait;Premièrement répondre au téléphone 99% de fois que j'ai appelé personne ne répond ? Deuxièmement toujours des problèmes par mail et mon mot de passe ? Troisièmement remboursement feuilles manuelles si le total est de zéro recevoir un mail ou texto car comment voulez-vous vérifier ex. remboursement  Pédicure car diabète et ongles incarnés .J'envoie ma feuille de maladie remplie par courrier et quand je vais voir dans mon compte client de temps en temps je vois un remboursement de zéro € qui est normal car on me retire 50 centimes par bts de médicament 1€ par médecin 1€ pour taxi car aucun de mes médecin ne veulent que je prenne ma voiture car problèmes de malaises 1€ pour infirmière car je suis pour eux un très grand malade a  ce sujet j'aimerais avoir un rendez-vous chez vous avec Médecin conseil . 
Très satisfait;Pouvoir enregistrer sur l’app Ameli tous les membres de la famille au lieu d’un principal et des invités où il faut mettre l’e-mail et le Mdp à chaque fois
Assez satisfait;Nous avertir pour le renouvellement de la CMU ou renouveler automatiquement après un certain âge.
Pas du tout satisfait;Favoriser la communication directe entre l'assuré et les services compétents, or certains services ne sont ni joignables au téléphone ni en rdv...le service AT/mp par exemple : comment fait on ?
Peu satisfait;Je n'arrive pas à me connecter à mon compte amélie
Très satisfait;Très bien
Très satisfait;ras
Très satisfait;Rien
Très satisfait;Rien
Assez satisfait;Plus de renseignements merci!!
Assez satisfait;J'aurai aimé que la CPAM m'aide à trouver un médecin traitant.
Peu satisfait;Personnalisation du suivi des dossiers des assurés.
Très satisfait;Aucune suggestion
Très satisfait;Il serait vraiment très appréciable de pouvoir vous envoyer des documents via la messagerie sur Améli, on gagnerait un temps fou et vu le prix du timbre de l'argent également et fini les papiers égarés ça serait vraiment bien
Assez satisfait;Le code de securite j ai du mal a chaque fois que je veux regarder mon compte
Très satisfait;Il à tout faire
Très satisfait;Je suis en invalidité catégorie 2 depuis longtemps et je viens d’avoir un AVC je ne connais pas mes droits et mes aides  Je trouve que mon compte n’est pas assez détaillé
Très satisfait;Pour moi je suis satisfait comme ça
Très satisfait;La seule chose serait de pouvoir envoyer des messages directement de son compte ameli car étant malheureusement malade après une hospitalisation pour crise d’épilepsie j’ai du mal à gérer des messages en dehors de mon compte mais j’apprécie vraiment les personnes qui ont été patiente avec moi et les remercie beaucoup
Peu satisfait;"Depuis septembre 2023 notre médecin traitant le docteur Bodic est indisponible et après avoir appelé presque tout les médecins de St Nazaire nous n'avons eu que des refus, pas de nouveaux patients .Nous avons mon épouse et moi un traitement à vie et besoin d'une ordonnance régulière pour prise de médicaments .Nous avons écrit à la mairie et depuis 2 mois aucune réponse , nous nous sommes présentés au mois d'octobre à la CPAM  de St Nazaire en expliquant notre problème et la réponse a été "" nous ne pouvons rien faire pour vous"" et depuis aucune nouvelle. Nous sommes sortis de la CPAM très perplexe ..... Pour une question qui suit nous avons bien un médecin traitant mais il n'a pas donné signe de vie depuis septembre"
Très satisfait;J'ai du mal à savoir ce que l'ont peut faire pour améliorer, tout est clair est satisfaisant
Assez satisfait;Je bénéficie de l'ALD depuis plusieurs années et je commence juste à savoir comment ça fonctionne. Les informations ne m'ont été données qu'à la suite d'incidents et encore, a t'il fallu aller les chercher en appelant. Au bout de très longues minutes, la personne qui prend l'appel ne vous renseigne pas vraiment, voir s'agace et fini par vous donner un RV téléphonique où, là, on a droit à une personne attentionnée. Il serait si simple d'adresser une documentation complète lors de l'attribution de l'ALD.
Assez satisfait;diminuer les temps d'attente au téléphone
Peu satisfait;Apporter des réponses rapides et précises dans le traitement des dossiers qui sont urgent
Assez satisfait;Ras
Très satisfait;Juste continuer comme ça
Très satisfait;RAS, car c est tout nouveau pour moi
Très satisfait;Même signaler ou je eux trouver un centre pour le vaccin covid
Assez satisfait;Pouvoir contacter un conseiller rapidement
Très satisfait;J'ai envoyé un courrier à ma CPAM, elle pourrait me faire parvenir un E-Mail d'accuser réception.
Assez satisfait;J’aimerais avoir une réponse à mon dernier e mail et envoie de democulents demandes pour mon arrêt maladie de l’année dernière pour Covid
Assez satisfait;Connaître le motif du non remboursement
Assez satisfait;Possibilité de transmettre des documents directement via mon compte
Peu satisfait;Avertir l'assuré lorsque votre demande où traitement de votre dossier nécessite des documents à fournir. Cela évite à l'assuré de perdre du temps au téléphone et de se retrouver dans une situation financière plus que délicate.
Assez satisfait;Très compliqué pour envoyer un message via ameli. Le chat ne répond pas forcément à nos questions.
Pas du tout satisfait;Bonjour , que les arrêt de travail et prolongation soit pris en compte en tant et en heure et pas 3 à 4 semaines délai,ainsi que les IJ de la même façon, même malade j ai des factures à payer⁸
Très satisfait;Je suis en attente pour un invalidité .étant toujours en arrêt on a mis mon dossier en attente et j'ai appelé pour dire que j'étais en CP. Mais je n'ai toujours pas de nouvelles
Pas du tout satisfait;bonjour, simplement quand j' appelle que l'on arrête de me dire que mon dossier est en cours de traitement depuis le 22 septembre 2023.
Peu satisfait;Revoir mon dossier  d invalidité  car mon cas s aggrave
Assez satisfait;Je pense que ca ne peut ce formuler en quelque suggestions
Assez satisfait;CE QUI SERAIT IMPORTANT SERAIT DE PREVENIR SUFFISAMENT EN AVANCE L'ECHEANCE DES PRESTATIONS  COMME PAR EX LA DATE LORSQU'IL FAUT REFAIRE LES DEMANDES
Assez satisfait;Le site est souvent en panne. Impossible de faire une demande de complémentaire santé solidaire en ligne deux dernières années tandis qu'avant ça a marché
Peu satisfait;je pense que amélie .fr n'est pas très au point pour faire le dossier car on peut se rappaler de tout et des dates eu il peuvent le savoir avec l'aasurance maladie donc j'ai pas fais de dossier amélie voilà
Assez satisfait;Revoir leur normes
Assez satisfait;Prévenir par mail 1 mois avant le fin d'expiration de la complémentaire solidaire CPAM. Nous éviterions les soucis de renouvellement et l'impossibilité de prendre soin de sa santé dans la foulée.
Assez satisfait;Plus d'empathie et de bienveillance envers les assurés.
Très satisfait;Faire des complémentaires santé 100% pour les séniors
Très satisfait;félicitations
