RDV;Quel est votre niveau de satisfaction global suite à ce rendez-vous ?;Avez-vous des remarques ou suggestions ?;;
physique;Très satisfait;"La personne qui nous a reçu est formidable ! Attentive, compréhensive, prévenante, dommage que tous les services administratifs n'en possèdent pas des comme elle par centaine !
un seul regret, j'ai oublié de lui demander son prénom !";;
physique;Très satisfait;Je trouve que de faire courir de partout une femme enceinte qui va accoucher d ici peu ,de lui mettre du stress car toujours pas payé pour son congé maternité depuis plus d un mois en me mettant en difficulté financière est inadmissible et de ne pas traiter plus vite ce genre de dossier !!!!!;;
physique;Assez satisfait;Bonjour, j,ai remarqué que j,ai du parler a 2 personnes différentes suite à mon rendez-vous du 8 mars 2024,car apparemment on me réclamait encore des documents alors que j,avais tout remit en mains propre à l,agent le 8 mars 2024 a 10h45.mais le dernier agent que j,ai eu aujourd'hui à 9h15 par téléphone a su répondre à mes demandes et pu faire ma réclamation de bon de voyage donc je suis en effet satisfait du dernier interlocuteur de la caisse par téléphone a ce jour qui a prit en compte ma demande de bon de voyage que je n,ai pas eu pour moi et mes filles.;;
physique;Très satisfait;"Non
C’est bien et très compréhensive";;
physique;Pas du tout satisfait;J’ai amener toute mes piece demander on le redemande les meme voir pire on me demande un bulletin de paie qui on reçu m’en demande une autre du même mois qui n’existe pas;;
physique;Pas du tout satisfait;une fois qu'un engagement est pris pour recontacter le bénéficiaire pour le complément de son dossier veillez honorer.;;
physique;Très satisfait;L'agent(e) a totalement répondu à mes attentes;;
physique;Peu satisfait;Je suis en invalidité et il est honteux de devoir ce déplacer encore et encore pour avoir un dossier à jour et pouvoir peut-être percevoir un peu ! Le site ne fonctionnent pas ou très mal;;
physique;Très satisfait;non;;
physique;Très satisfait;Nn;;
physique;Assez satisfait;en attente d'une réponse;;
physique;Très satisfait;non;;
physique;Assez satisfait;Délais d'attente trop long pour prise de rdv, manque de renseignements disponible via l'application ameli concernant le traitement des demandes en cours.....;;
physique;Très satisfait;Non;;
physique;Assez satisfait;Non;;
physique;Pas du tout satisfait;Ne demandez pas de documents remontants à  2011, réfléchissez à  l'absurdité de la situation;;
physique;Très satisfait;Non Tous me convenait;;
physique;Très satisfait;Bon accueil satisfaite  de mes entretiens cordialement;;
physique;Pas du tout satisfait;"L’agent qui m’en reçue était très agréable, 
Très explicite et très professionnelle. Surtout très à l’écoute.";;
physique;Très satisfait;Entre le rdv du 13/03 et à l'heure où je complète l'enquête de satisfaction les indemnités ne m'ont pas encore été régularisé s;;
physique;Très satisfait;Personnel à l'écoute et très compétent.;;
physique;Assez satisfait;C'était mieux avant....;;
physique;Très satisfait;Je suis très satisfait de la part de ma caisse de assurance maladie;;
physique;Pas du tout satisfait;Le temps d'attente trop long les agents discute tranquillement dans leur bureau pendant qu'on patiente l'heure de mon rdv pas respecté et la réponse pas du tt satisfaisante;;
physique;Très satisfait;Il serait judicieux de connaître le nom de la personne qui vous reçoit;;
physique;Très satisfait;heureusement qu'une autre dame et venue pour l'aider à m'aider, car au début elle ne voulait rien comprendre;;
physique;Assez satisfait;Je constate seulement l'absence de contact entre services suite à l'évaluation de l'urgence de la demande. Les services pourraient se contacter dans des cas difficiles et urgents de traiter celles ci en priorité.;;
physique;Peu satisfait;Lors de la dépose dans la boite de CPAM de Colombes (92) des pièces manquantes suite à mon RDV, personne n'a accuse reception de ces documents et je ne sais toujours pas  aujourd'hui, 10 jour saptres mon RDV si mes 3 soucis sont pris en compte et bientot traités & réglés apres 10 mois d'attente et d'incertitude....;;
physique;Assez satisfait;Je trouve que le temps est de plus en plus long pour valider les dossiers( pour ma pars invalidité);;
physique;Assez satisfait;"Ai pris ce rendez vous car j'avais besoin d'être renseigné. J'ai tout d'abord téléphoné et on n'a pas pu me répondre . J'ai pris rdv , comme je travaille , celui ci a été difficile à fixer et donc le délai a été très long.
Le jour du rendez vous , l'employée a consulté sa rubrique rente et m'a fourni le renseignement . Je suis restée 5 mn avec elle . 
La réponse aurait pu mettre fournie de la même manière par téléphone .
J'ai pris ce rendez vous sur une semaine de vacances . Que de temps perdu!!
La personne qui m'a reçue a été aimable .";;
physique;Peu satisfait;aucun moyen de les avoir au 3646;;
physique;Pas du tout satisfait;Il serait judicieux d'avoir des conseillers disponibles pour chaque demande et situation pour finaliser et régler les problèmes que nous rencontrons.;;
physique;Assez satisfait;Permanence hebdomadaire insuffisante. Et horaires aussi;;
physique;Très satisfait;Je été bien accueilli et reçu un bon traitement pour ma préoccupations;;
physique;Pas du tout satisfait;Oui vous poussez les personnes à mettre fin à leur vie;;
physique;Assez satisfait;la repunse a été tres  bien;;
physique;Assez satisfait;non merci;;
physique;Pas du tout satisfait;Très compliqué de donner des réponses sur votre dossier chaque personnes que j'ai eu sont pas capable de vous dire se qu'il va pas ou vous dises toujours la même chose que votre dossier doit être traité. incompétent !;;
physique;Très satisfait;"Je voudrais remercier la personne trop aimable qui m'a reçu au Centre de Sarcelles, rue 1 mai. Dommage que je ne connaisse pas son nom.
Merci";;
physique;Assez satisfait;le délai d'instruction de mon dossier mon accident ayant eu lieu a l’étranger;;
physique;Assez satisfait;"La gestion des appels ainsi que la résolution des demandes des assurés au 3646 est déplorable, il m'a fallut une bonne quinzaine d'appels débouchant sur des conversations téléphoniques stériles avec des agents incompétents avant de réussir à avoir un rendez-vous physique au cours du quel j'ai enfin reçu des réponses à mes questions par un agent très à l'écoute et compétent...
Il fut malgré tout nécessaire de fixer un autre rendez-vous physique afin de résoudre tous mes problèmes.";;
physique;Très satisfait;Merci à l'agent(e) qui m'a accueilli, elle a pris le temps de répondre à ma requête avec implication et un grand professionalisme. Merci.;;
physique;Assez satisfait;Le délai de traitement des dossiers c’est long et c’est infernal des fois ça pourra prendre deux mois alors que il faut pas on sait pas qd on tombe malade si je dois attendre 2 mois pour aller chez le toubib et ben bonjour les dégâts surtout si t’as des enfants tu prie Dieu que aucun n’aura un problème de santé durant les deux mois d’attente.;;
physique;Très satisfait;Le contact physique m'a permis de me rassurer dans la demarches d'informations et d'avoir une bonne aide merci a la conseillere;;
physique;Assez satisfait;Oui je suis déçu même si j'ai pas approvisionné mon compte faute de j'étais très loin d'un buraliste nickel.je ss vraiment désolé. Cordialement;;
physique;Très satisfait;Très bien reçue ! Personne très agréable et très claire dans ses réponses !  Merci;;
physique;Très satisfait;Conseiller au top;;
physique;Très satisfait;Non;;
physique;Très satisfait;delai entre la demande de prise de rendez vous et le rendez vous;;
physique;Très satisfait;Non;;
physique;Pas du tout satisfait;Accueil sur place inexistant à part les vigiles;;
physique;Pas du tout satisfait;Former vos conseillers à l amabilité et la politesse;;
physique;Assez satisfait;Par téléphone oui mais physiquement je ne sais pas puisque pas rendu sur pkace;;
physique;Assez satisfait;Donner la possibilité aux conseillers de joindre téléphoniquement leurs collègues d’autres services ou mettre l’assuré en relation avec ces derniers;;
physique;Très satisfait;Aucune;;
physique;Très satisfait;Rien de spécial;;
physique;Très satisfait;Le rendez-vous s'est bien passé;;
physique;Très satisfait;CE RENDEZ VOUS A FAIT SUITE A DES DIFFICULTEES POUR ACCEDER A MON COMPTE AMELI VEILLEZ A CE QUE NOUS SOMMES AGES ET FAISONS DES EFFORTS SUR INTERNET MAIS CEUX QUI ETABLISSENT CES ACCES NE CE RENDENT PADS COMPTE DES DIFFICUTEES QUE NOUS RENCONTRONS IL SERAIT IMPORTANT QU'ILS SE METTENT A NOTRE PLACE TOUT CE QUI CE CONCOIT BIEN DOIT ETRE FACILE;;
physique;Très satisfait;non;;
physique;Assez satisfait;Délais de traitement beaucoup trop long;;
physique;Très satisfait;"Satisfaite dans l'ensemble des démarches.  Accueil et échanges avec la cpam très satisfaisante.  Ont répondu à mes questions et m'ont bien aidé. 
Merci pour les personnes de la cpam qui ont été à mon écoute pour mon arrêt maladie.";;
physique;Très satisfait;si les contacts par mail étaient facilités, il n'y aurait pas forcement besoin de rendez vous mais comme il est impossible de recevoir des réponses à de simples questions, on est obligé de prendre rendez vous pour avoir enfin un contact humain et non une machine, dommage;;
physique;Peu satisfait;Je souhaiterais pouvoir prendre un rdv physique sur mon application ameli or on me propose que des rdv téléphonique;;
physique;Très satisfait;.;;
physique;Très satisfait;Une bonne idée de recevoir sur rdv;;
physique;Très satisfait;une femme competente epatante;;
physique;Très satisfait;Lagent à fait toute srs capacité pour me trouver une solution;;
physique;Assez satisfait;"Un accueil cordial et gentillesse à tt
Épreuve";;
physique;Pas du tout satisfait;Non;;
physique;Très satisfait;beaucoup de patience de la personne qui m'a reçu;;
physique;Assez satisfait;ça s'est très bien passé, la dame était très gentille;;
physique;Très satisfait;"J'ai trouvé un accueil efficace,  très bienveillant. 
Je dois dire que je suis toujours satisfaite de la Cpam de l'Artois sur Lens.";;
physique;Très satisfait;Le plus difficile est le 3646 a obtenir..;;
physique;Très satisfait;J'ai été impressionnée par la patience et la gentillesse du personnel tant pour traiter et expliquer à des personnes étrangères qu'à des personnes âgées . Merci.;;
physique;Très satisfait;Vous avez des bon agent qui font a merveille leurs travail merci infiniment eux;;
physique;Très satisfait;Je regrette les fermetures des bureaux des permanences  comme il y avait autrefois;;
physique;Très satisfait;j'attends ma prise en charge de ma cure;;
physique;Très satisfait;Il faudrait pouvoir transmettre des documents par le biais de ameli.fr svp merci;;
physique;Très satisfait;CET APPEL TÉLÉPHONIQUE AVAIT DÉJÀ EU LIEU IL Y A PLUSIEURS JOURS PAR UNE AUTRE PERSONNE DE LA CPAM !;;
physique;Très satisfait;aucune très satisfais;;
physique;Assez satisfait;L'hôtesse d'accueil était au top mais la prise de rdv est beaucoup trop long ,j'avais deux loyers de retard et le rdv était encore plus loin alors que l'erreur venait de vis service .;;
physique;Très satisfait;les bocks ne sont pas fermés d'où un manque de confidentialité.;;
physique;Très satisfait;Ce n'est pas part téléphone le rdv que ont m'a téléphoné, je me suis déplacer pour prendre le rdv, et après reçu un mail pour me comfirmer le rdv;;
physique;Très satisfait;Non parfaitement parfait un accueil chaleureux , toutes les explications , rapidité , connaissances de son métier . Souriante,  un  très bon accueil .;;
physique;Très satisfait;Je n ai pas beaucoup de revenu,  et vous avez effectuer  220 euros d un coup pour les franchises  médicales;;
physique;Très satisfait;L'agent qui nous a reçu a répondu à toutes nos questions et était très claire dans les explications.;;
physique;Très satisfait;Non;;
physique;Très satisfait;Rien à rajouter organisation au top!;;
physique;Pas du tout satisfait;Cette femme ne devrais pas se comporter comme cela de la pure méchanceté;;
physique;Assez satisfait;Dommage qu'il soit impossible d'avoir la caisse par téléphone au numéro imposé;;
physique;Très satisfait;Conseiller très pédagogue et attentif aux questions posées;;
physique;Très satisfait;"La dame qui m a reçu était très agréable  souriante , et tres professionnelle.
Merci";;
physique;Très satisfait;Dommage de devoir attendre dehors, sans possibilité de s'asseoir et de s'abriter.;;
physique;Assez satisfait;Je trouve dommage de ne pas avoir pu bénéficiez de la maison des services qui se trouve sur ma commune. Le jour imparti au rendez vous est le mardi et cela fait au moins trois semaines qu'il n'y a pas de disponibilités et qu'il n'y en a pas de proposé même sur avril. Il a fallu que je fasse 25 minutes de route aller pour me rendre à ma cpam la plus proche. Peut être serait il intéressant d'ouvrir plus de créneaux dans les maisons de service de façon a évité d'avoir à nous déplacer pour un rdv très court ( impression de papier dans mon cas). Je vous remercie de l'attention que vous porterez à mon mail. Cordialement;;
physique;Peu satisfait;Il serait souhaitable de pourvoir recevoir tout document demandés par mail ou courrier papier;;
physique;Peu satisfait;L'agent ne connaît pas la loi et comment ça déroule;;
physique;Assez satisfait;Très difficile d'avoir quelqu un au téléphone et a la l'accueil au Mureaux pour un simple truc il faut prendre un rendez-vous;;
physique;Très satisfait;Juste délai d'attente entre prise de rdv et rdv un peu long. Sinon, très bien.;;
physique;Très satisfait;Non;;
physique;Assez satisfait;"Bonjour le contact avec les conseillers par téléphone a été super.
Par contre le délai pour obtenir un papier a été plus que moyen.
Je mets une note de 20 sur 20 à la dernière conseillère de Fréjus qui a été très professionnel avec beaucoup d'empathie.
Top.......
Bien cordialement";;
physique;Pas du tout satisfait;J'ai été très mal à l'aise quant à la posture de l'agent qui m'a reçue. Je me suis sentie absolument illégitime à poser mes questions, la première réponse de l'agent était erronée ce qui ne facilite pas la confiance réciproque. La posture de prise en soin administrative était insatisfaisante. Travaillant dans la formation et les sujets liés à la maladie chronique et au champ psychosocial, je me tiens à la disposition de la cpam pour accompagner la formation de ces agents.;;
physique;Très satisfait;Merci pour votre accueil.;;
physique;Très satisfait;"Merci du service apporté 
Un rendez-vous physique permet de mieux comprendre la conversation";;
physique;Peu satisfait;Pourquoi faut il autant de temps pour être remboursé;;
physique;Très satisfait;Rdv parfait, rien a redire.;;
physique;Très satisfait;Ne pas pouvoir faire ma demande en ligne;;
physique;Assez satisfait;Il est très difficile d'avoir quelqu'un au téléphone, alors qu'une réponse téléphonique aurait suffit, c'est le côté stressant;;
physique;Très satisfait;Ras;;
physique;Pas du tout satisfait;Je veux payer ce que je dois mais ce n’est pas facile pour y arriver, je ne désespère pas et je vais recommencerquand j’aurai u temps . Malgré mon âge j’estime que j’ai toute me tête mais tout n’est pas tout simple chez vous;;
physique;Très satisfait;Non aucune;;
physique;Pas du tout satisfait;Engager des personnes compétentes pas des personnes qui se renvoient la balle et qui ne sortent jamais le même discours;;
physique;Très satisfait;Que mon Dossier puisse aboutir Cordialement;;
physique;Très satisfait;Accueil très chaleureux et à l'écoute. Je suis sortie de l entretien  soulagée de la prise en charge de ma demande.;;
physique;Assez satisfait;CE RDV AURAIT PU ETRE EVITER SI LE TRANSPORTEUR AVAIT PRIS MA CTE VITALE            (_85( ans);;
physique;Très satisfait;Ras;;
physique;Assez satisfait;les dossiers que l'on depose dans les boites aus lettres disparaissent souvent   traitement trop long;;
physique;Très satisfait;Quand je recevrai ma nouvelle vital à mon nom de jeune fille amicalement Mme tomassian;;
physique;Assez satisfait;recevoir le compte rendu de la l'appel serait un complément à conserver chez soi;;
physique;Très satisfait;j'espère que le traitement sera pris en compte rapidement, j'attends mes IJ depuis 5 mois;;
physique;Très satisfait;"La personne est sympathique, elle prend son temps pour expliquer. 
Mme Perrodo Sylvie.";;
physique;Très satisfait;2 feuilles de soins transmises par 2 moyens différents perdues ! Ça n'est pas la qualité de l'accueil ni du service dans le cadre d'un rendez-vous qu'il faut questionner ...;;
physique;Très satisfait;Non;;
physique;Très satisfait;Rien à signaler;;
physique;Très satisfait;très satisfaite aucun commentaire négatif cordialement;;
physique;Très satisfait;"pas 2
pas evidant";;
physique;Très satisfait;Sa fait  toujours  plaisir  de tomber  sur des personnes  agréables  et qui prend le temps  de vous  expliquer  je remercie  cette  dame  qui a très  bien  fait  sont travail !;;
physique;Très satisfait;Je suis très content de mon rendez vous et encore j'ai déjà envoyé mon dossier manqué;;
physique;Très satisfait;C’était un rendez-vous téléphonique;;
physique;Assez satisfait;Le conseil à calculer pour savoir si j’avais droit à la complémentaire gratuite et il et bien pris son temps et m’a bien expliqué les choses j’ai apprécier ça;;
physique;Très satisfait;"Cet agent est très sérieuse et compétente 
Cela est très rassurant lorsque l’on rencontre de grosses difficultés et que l’on bien pris en charge";;
physique;Assez satisfait;trop de temp piur etre indemnisè pour un accident de travail;;
physique;Très satisfait;Juste pour se connecter il faut aller devant la porte d'entrée car pas de réseau. À monistrol sur Loire.;;
physique;Très satisfait;Collaboratrice sympa mais surtout performante;;
physique;Peu satisfait;oui trop long pour être indemnisés depuis mois octobre ses abusée;;
physique;Très satisfait;Très bon accueil avec un personnel à l'écoute. C'était très bien et j'ai obtenu toutes les réponses aux questions que j'ai poséees.;;
physique;Assez satisfait;C'est presque impossible de vous joindre par téléphone et j'ai l'impression de devoir me débrouiller seul;;
physique;Peu satisfait;L accueil ne peut pas répondre aux questions. Elles sont transmises à d'autres services et la réponse est longue pour des problèmes faciles à régler.  On parle d'indemnités qui nous font défauts.;;
physique;Pas du tout satisfait;Set mieux a l accueil;;
physique;Très satisfait;R.A.S.;;
physique;Assez satisfait;Mais je prend mes  rendez-vous à la caisse de Beaune avec un personnel très bienveillant;;
physique;Très satisfait;les rendez vous tres expacie et surtout une stupidite de proposer rdv a plus de 100km pontarlier;;
physique;Pas du tout satisfait;Oui vous écouter pas les gent;;
physique;Très satisfait;"Dommage que certaines personnes soit désagréables ou incompétences. 
Heureusement que la collaboratrice que j'ai rencontré dans vos bureaux de Béziers, était  extrême compétente. Merci";;
physique;Très satisfait;Très aimable et attentionné;;
physique;Très satisfait;Sur l’accueil par les agents de sécurité, un petit bémol. Bisous. Claudie;;
physique;Peu satisfait;que les document ne se perdent pas en cours de route;;
physique;Pas du tout satisfait;"Aucun moyen de contacter qqn pour mon dossier hormis ces rdv qui ont de plus en plus de délais d'attente
À chaque fois je me demande pourquoi j'y vais on me dit toujours que tout rentre dans l'ordre pourtant ça n'avance pas .. 
Mon problème concerne les indemnités ameli dans le cadre d'un congé pathologique puis maternité
Aujourd'hui mon bébé est née et je n'ai toujours eu aucun versement depuis début février.. alors que ""tout est en ordre""..";;
physique;Très satisfait;Félicitations pour votre courage et votre patience à toutes l'équipe. Bonne continuation à vous tous.;;
physique;Très satisfait;JE SUIS TOMBEE SUR UNE JEUNE FEMME EXTREMEMENT PROFFESSIONNELLE  ET TRES HUMAINE;;
physique;Assez satisfait;Le traitement des dossiers prend beaucoup de temps.;;
physique;Très satisfait;Merci;;
physique;Très satisfait;L’agent a été très à l’écoute et a essayé de m’aider dans ma démarche alors que la CPAM ne pouvait pas m’aider comme je le pensais;;
physique;Assez satisfait;endroit très étroit par rapport au pécédent;;
physique;Très satisfait;L amabilité et la courtoisie des agents sur place était plus qu honorable;;
physique;Très satisfait;delai pour une réponse concernant la mutuelle un peu long;;
physique;Assez satisfait;Former mieux les personnes qui travaillent à la caisse;;
physique;Très satisfait;Autoriser de badger à la borne pour confirmer le rendez-vous à l'agence même si on est en avance.;;
physique;Assez satisfait;un acceuil plus souriant (il est vrai que le bruit est la règle (tel portable à haute voix;;
physique;Très satisfait;Les hôtesses sont gentil+ l’amabilité la gentillesse.;;
physique;Très satisfait;Non;;
physique;Très satisfait;Non sauf selon ma situation mon employeur refuse de transmettre de Bon documents au cpam donc veillez a ca Merci beaucoup;;
physique;Très satisfait;"Très bon accueil.  Suite au rendez-vous,  le dossier a  été traité rapidement.  Merci

dossier a déjà été traité";;
physique;Assez satisfait;Je recommande plutôt l'accueil du centre ville;;
physique;Très satisfait;"Personne super agréable, même si j'avais des soucis de compréhension elle a su me rassurer et m'aider.
Merci à vous Madame.";;
physique;Très satisfait;Ras;;
physique;Très satisfait;Non;;
physique;Assez satisfait;Depuis le mois d'octobre, les mêmes documents m'ont été demandés à plusieurs reprises. Bien que je les aie transmis à la fois dans la boîte aux lettres et en ligne, il a fallu beaucoup de temps pour que le problème soit résolu. De plus, bien que j'aie préparé les attestations demandées, ils n'ont pas été approuvés.;;
physique;Pas du tout satisfait;Personnel incompétent et inutile au plus au point;;
physique;Pas du tout satisfait;Vous devriez apprendre à vos agents à mieux comprendre et écouter les personnes qui viennent les voir et surtout montrer de l'intérêt à leurs demandes...nous ne venons pas les voir par plaisir mais pour de bonnes raisons...être hautain et ne faire aucun effort pour aider à trouver une solution n'est pas une bonne attitude...;;
